username,profile_name,tweet_content,category,brand_name,hashtags,mentions,timestamp,retweets,likes
@EcoFashion,Eco Fashion,Loving the new Winter season from zara! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,zara,#Winterseason #Fashion #Style,@zara,2024-06-17T07:49:12.844865,18,4
@AnkushBahuguna,Ankush Bahuguna,Loving the new Spring season from Khadi india! The colors are so vibrant. #Springseason #Fashion #Style,Spring season,Khadi india,#Springseason #Fashion #Style,@Khadiindia,2024-06-27T11:32:44.512341,46,71
@KomalPandey,Komal Pandey,Loving the new Winter season from zara! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,zara,#Winterseason #Fashion #Style,@zara,2024-06-16T01:35:55.210560,13,99
@AnkushBahuguna,Ankush Bahuguna,Loving the new Winter season from zara! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,zara,#Winterseason #Fashion #Style,@zara,2024-07-04T15:27:06.657709,6,62
@EcoFashion,Eco Fashion,Loving the new Summer season from zara! The colors are so vibrant. #Summerseason #Fashion #Style,Summer season,zara,#Summerseason #Fashion #Style,@zara,2024-06-24T04:49:02.574305,49,47
@Fashionista123,Fashion Guru,Loving the new All season from Calvin Klein! The colors are so vibrant. #Allseason #Fashion #Style,All season,Calvin Klein,#Allseason #Fashion #Style,@CalvinKlein,2024-06-19T21:08:43.434185,37,93
@TrendyChic,Trendy Chic,Loving the new Spring season from Khadi india! The colors are so vibrant. #Springseason #Fashion #Style,Spring season,Khadi india,#Springseason #Fashion #Style,@Khadiindia,2024-07-10T14:50:38.272931,22,2
@KomalPandey,Komal Pandey,Loving the new All season from levis! The colors are so vibrant. #Allseason #Fashion #Style,All season,levis,#Allseason #Fashion #Style,@levis,2024-07-10T03:40:49.322305,26,53
@EcoFashion,Eco Fashion,Loving the new Winter season from zara! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,zara,#Winterseason #Fashion #Style,@zara,2024-07-04T04:41:02.949838,15,66
@AnkushBahuguna,Ankush Bahuguna,Loving the new Winter season from Roadroster! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,Roadroster,#Winterseason #Fashion #Style,@Roadroster,2024-06-25T20:40:57.870722,40,43
@KomalPandey,Komal Pandey,Loving the new Spring season from Khadi india! The colors are so vibrant. #Springseason #Fashion #Style,Spring season,Khadi india,#Springseason #Fashion #Style,@Khadiindia,2024-06-27T01:12:14.925254,42,28
@VintageVogue,Vintage Vogue,Loving the new All season from levis! The colors are so vibrant. #Allseason #Fashion #Style,All season,levis,#Allseason #Fashion #Style,@levis,2024-06-24T06:12:23.312669,33,40
@Kushakapila,Kusha Kapila,Loving the new Winter season from Vogue! The colors are so vibrant. #Winterseason #Fashion #Style,Winter season,Vogue,#Winterseason #Fashion #Style,@Vogue,2024-07-01T07:58:07.170937,17,4
